term_str,n,tfidf_x,dfidf,syu_sentiment,weighted_sentiment
abandon,1.0,0.047939119169419744,6.807354922057604,-0.75,-0.03595433937706481
abandoned,1.2857142857142858,0.016160395594536105,28.0,-0.5,-0.008080197797268053
aberration,1.0,0.022540910337939084,6.807354922057604,-0.8,-0.018032728270351267
abhorred,1.0,0.04862396372898288,6.807354922057604,-1.0,-0.04862396372898288
abhorrent,1.0,0.03137029917998896,6.807354922057604,-0.5,-0.01568514958999448
abilities,1.0,0.02076060673174118,25.33435452801869,0.6,0.012456364039044708
ability,1.5833333333333333,0.018728311356214188,38.66870905603738,0.5,0.009364155678107094
abnormal,1.0,0.021140853795209948,6.807354922057604,-0.5,-0.010570426897604974
aboard,2.0,0.03867815296623638,6.807354922057604,0.25,0.009669538241559096
abolish,1.0,0.02648776234263659,6.807354922057604,-0.5,-0.013243881171318295
abominable,1.0,0.021075402235472458,6.807354922057604,-0.5,-0.010537701117736229
abominably,1.0,0.02246651789457955,6.807354922057604,-1.0,-0.02246651789457955
abortive,1.0,0.01933907648311819,6.807354922057604,-1.0,-0.01933907648311819
abrupt,1.0,0.02683181810050521,19.229419688230415,-0.25,-0.006707954525126302
abruptly,1.5,0.015334168529252838,47.473738571075245,-0.25,-0.0038335421323132095
abscess,1.0,0.02163980856137229,11.614709844115207,-0.5,-0.010819904280686144
absence,1.0909090909090908,0.014022766379961438,36.82715633762338,-0.5,-0.007011383189980719
absent,1.0,0.018807910827118378,11.614709844115207,-0.6,-0.011284746496271026
absolute,1.4545454545454546,0.02405286461401842,36.82715633762338,-0.25,-0.006013216153504605
absorbed,1.7272727272727273,0.030954486647296307,36.82715633762338,0.5,0.015477243323648153
abstinence,1.0,0.028844724246006797,6.807354922057604,-0.25,-0.007211181061501699
abstraction,1.0,0.04727329806984447,6.807354922057604,-0.25,-0.011818324517461117
absurd,1.2857142857142858,0.012040037887653962,50.715787484855724,-0.75,-0.00903002841574047
absurdity,1.0,0.025511746668972126,15.667177264009345,-0.5,-0.012755873334486063
abundance,1.1666666666666667,0.01739250969705246,25.33435452801869,0.6,0.010435505818231475
abundant,1.0,0.02999767050805961,19.229419688230415,0.5,0.014998835254029804
abuse,1.0,0.02504107599599444,15.667177264009345,-1.0,-0.02504107599599444
abused,1.3333333333333333,0.03195958554157503,15.667177264009345,-0.75,-0.023969689156181268
abuses,2.0,0.03464302759316847,6.807354922057604,-0.5,-0.017321513796584236
abusive,1.0,0.02246651789457955,6.807354922057604,-0.5,-0.011233258947289776
abysmal,2.0,0.0863704691810344,19.229419688230415,-0.5,-0.0431852345905172
abyss,3.1666666666666665,0.07882792529205247,25.33435452801869,-0.75,-0.059120943969039365
academy,1.5,0.015333848160852186,19.229419688230415,0.4,0.006133539264340875
accept,1.2857142857142858,0.04001359918880772,42.0,1.0,0.04001359918880772
acceptable,1.6666666666666667,0.02643796142971169,15.667177264009345,0.5,0.013218980714855845
acceptance,1.5,0.037209940557854426,11.614709844115207,0.8,0.029767952446283545
accepted,1.25,0.011881247799762382,49.70853654340483,0.8,0.009504998239809907
accepting,1.0,0.04624426598230294,11.614709844115207,0.6,0.027746559589381763
accepts,2.0,0.06105251051172739,6.807354922057604,0.8,0.04884200840938191
accessible,1.0,0.01901495788284247,6.807354922057604,0.75,0.014261218412131852
accident,1.5,0.023650846644053345,42.0,-0.5,-0.011825423322026673
accidental,1.0,0.03917408991417851,15.667177264009345,-1.0,-0.03917408991417851
accidentally,1.5,0.03218543786922129,19.229419688230415,-0.6,-0.019311262721532774
accidents,1.4444444444444444,0.0238908799472937,32.73686928553762,-0.6,-0.01433452796837622
accommodation,1.0,0.017435784477071718,19.229419688230415,0.4,0.0069743137908286875
accompany,1.0,0.03157548502266562,22.42713413585121,0.4,0.01263019400906625
accompanying,1.0,0.017321513796584236,6.807354922057604,0.25,0.004330378449146059
accomplish,1.4,0.020314413629663845,22.42713413585121,0.75,0.015235810222247884
accomplished,1.0,0.02417105507503983,38.66870905603738,0.75,0.01812829130627987
accomplishes,1.0,0.031959412779613165,6.807354922057604,0.8,0.025567530223690533
accomplishment,1.0,0.030526255255863693,6.807354922057604,0.5,0.015263127627931847
accomplishments,1.0,0.025578385807260677,11.614709844115207,1.0,0.025578385807260677
accord,1.0,0.034345674706659744,15.667177264009345,0.8000000000000002,0.027476539765327795
accordingly,1.6153846153846154,0.014983619655621784,40.389897650914655,0.25,0.003745904913905446
accosted,1.0,0.02155357437685611,11.614709844115207,-0.8,-0.01724285950148489
accredited,1.0,0.034909512420808225,6.807354922057604,0.8,0.027927609936646582
accumulate,1.0,0.016603304687945374,6.807354922057604,0.25,0.004150826171986343
accurate,1.0,0.0157738163953174,25.33435452801869,0.5,0.0078869081976587
accurately,1.3333333333333333,0.05712252834484773,15.667177264009345,0.6,0.03427351700690864
accusation,1.0,0.028967467753436612,6.807354922057604,-1.0,-0.028967467753436612
accusations,1.0,0.028967467753436612,6.807354922057604,-0.75,-0.021725600815077458
accuse,1.0,0.013533508791367005,6.807354922057604,-0.5,-0.006766754395683502
accused,3.0,0.1058138070786156,6.807354922057604,-0.5,-0.0529069035393078
ache,1.25,0.03654053098131299,19.229419688230415,-0.75,-0.02740539823598474
ached,3.0,0.0489737764176806,6.807354922057604,-1.0,-0.0489737764176806
achieve,1.0,0.05878435357191076,15.667177264009345,1.0,0.05878435357191076
achievement,1.1111111111111112,0.01501965466416405,32.73686928553762,0.5,0.007509827332082025
achievements,1.2,0.02236116767208829,22.42713413585121,1.0,0.02236116767208829
